"term","freq","s1","s2","s3","prob"
"of your life",15,"of","your","life",0.0617283950617284
"on my mind",15,"on","my","mind",0.033112582781457
"on the beach",15,"on","the","beach",0.00746640119462419
"on the right",15,"on","the","right",0.00746640119462419
"on the same",15,"on","the","same",0.00746640119462419
"one or two",15,"one","or","two",0.517241379310345
"only thing that",15,"only","thing","that",0.340909090909091
"ought to be",15,"ought","to","be",0.652173913043478
"out of a",15,"out","of","a",0.0263620386643234
"part of this",15,"part","of","this",0.0526315789473684
"pretty sure i",15,"pretty","sure","i",0.263157894736842
"right now but",15,"right","now","but",0.0522648083623693
"seemed to be",15,"seemed","to","be",0.326086956521739
"she was a",15,"she","was","a",0.0641025641025641
"so i guess",15,"so","i","guess",0.0309278350515464
"something to do",15,"something","to","do",0.220588235294118
"stay tuned for",15,"stay","tuned","for",0.288461538461538
"tell me what",15,"tell","me","what",0.159574468085106
"thanks for coming",15,"thanks","for","coming",0.0228658536585366
"thanks for stopping",15,"thanks","for","stopping",0.0228658536585366
"that's what i",15,"that's","what","i",0.254237288135593
"that can be",15,"that","can","be",0.306122448979592
"that in the",15,"that","in","the",0.223880597014925
"that there was",15,"that","there","was",0.1875
"the center of",15,"the","center","of",0.517241379310345
"the death of",15,"the","death","of",0.75
"the first to",15,"the","first","to",0.0280373831775701
"the future of",15,"the","future","of",0.153061224489796
"the midst of",15,"the","midst","of",0.9375
"the more i",15,"the","more","i",0.145631067961165
"the most beautiful",15,"the","most","beautiful",0.0431034482758621
"the most part",15,"the","most","part",0.0431034482758621
"the new york",15,"the","new","york",0.0526315789473684
"the past few",15,"the","past","few",0.105633802816901
"the th century",15,"the","th","century",0.136363636363636
"the university of",15,"the","university","of",0.555555555555556
"there are no",15,"there","are","no",0.0458715596330275
"there have been",15,"there","have","been",0.714285714285714
"there is always",15,"there","is","always",0.0352941176470588
"they need to",15,"they","need","to",0.535714285714286
"they will be",15,"they","will","be",0.1875
"this time i",15,"this","time","i",0.120967741935484
"time for the",15,"time","for","the",0.107142857142857
"times a day",15,"times","a","day",0.454545454545455
"to do and",15,"to","do","and",0.0200803212851406
"to do for",15,"to","do","for",0.0200803212851406
"to follow me",15,"to","follow","me",0.142857142857143
"to get on",15,"to","get","on",0.0185643564356436
"to get up",15,"to","get","up",0.0185643564356436
"to give me",15,"to","give","me",0.0806451612903226
"to live in",15,"to","live","in",0.166666666666667
"to move on",15,"to","move","on",0.227272727272727
"to put a",15,"to","put","a",0.128205128205128
"to read the",15,"to","read","the",0.148514851485149
"to stay in",15,"to","stay","in",0.185185185185185
"to the front",15,"to","the","front",0.00717703349282297
"to want to",15,"to","want","to",0.789473684210526
"trying to figure",15,"trying","to","figure",0.0453172205438066
"trying to find",15,"trying","to","find",0.0453172205438066
"up for a",15,"up","for","a",0.113636363636364
"wanted to do",15,"wanted","to","do",0.0691244239631336
"was just a",15,"was","just","a",0.135135135135135
"we are not",15,"we","are","not",0.0339366515837104
"we hope to",15,"we","hope","to",0.428571428571429
"we love you",15,"we","love","you",0.25
"what happened to",15,"what","happened","to",0.326086956521739
"what it was",15,"what","it","was",0.170454545454545
"when are you",15,"when","are","you",0.789473684210526
"when we were",15,"when","we","were",0.0993377483443709
"will be at",15,"will","be","at",0.0179856115107914
"will be back",15,"will","be","back",0.0179856115107914
"will continue to",15,"will","continue","to",0.714285714285714
"will have a",15,"will","have","a",0.138888888888889
"with lots of",15,"with","lots","of",0.9375
"with me and",15,"with","me","and",0.0842696629213483
"you can tell",15,"you","can","tell",0.0263620386643234
"you get to",15,"you","get","to",0.0842696629213483
"you i love",15,"you","i","love",0.192307692307692
"you must be",15,"you","must","be",0.326086956521739
"you thank you",15,"you","thank","you",1
"you would like",15,"you","would","like",0.185185185185185
"a big fan",14,"a","big","fan",0.0782122905027933
"a cup of",14,"a","cup","of",0.636363636363636
"a few times",14,"a","few","times",0.0319634703196347
"a piece of",14,"a","piece","of",0.451612903225806
"a way of",14,"a","way","of",0.159090909090909
"about it i",14,"about","it","i",0.0669856459330144
"all i can",14,"all","i","can",0.11864406779661
"all in the",14,"all","in","the",0.254545454545455
"and as a",14,"and","as","a",0.181818181818182
"and for the",14,"and","for","the",0.153846153846154
"and have been",14,"and","have","been",0.106870229007634
"and he is",14,"and","he","is",0.0818713450292398
"and i hope",14,"and","i","hope",0.0124777183600713
"and then the",14,"and","then","the",0.0414201183431953
"and there is",14,"and","there","is",0.168674698795181
"and to be",14,"and","to","be",0.105263157894737
"and you know",14,"and","you","know",0.0736842105263158
"are looking for",14,"are","looking","for",0.451612903225806
"are you a",14,"are","you","a",0.0351758793969849
"as good as",14,"as","good","as",0.56
"as they are",14,"as","they","are",0.164705882352941
"at least the",14,"at","least","the",0.0454545454545455
"at the door",14,"at","the","door",0.0106626047220107
"back on the",14,"back","on","the",0.23728813559322
"back to my",14,"back","to","my",0.0377358490566038
"be part of",14,"be","part","of",1
"because i am",14,"because","i","am",0.0622222222222222
"because i have",14,"because","i","have",0.0622222222222222
"been in the",14,"been","in","the",0.285714285714286
"best of luck",14,"best","of","luck",0.241379310344828
"but i love",14,"but","i","love",0.0220125786163522
"can be found",14,"can","be","found",0.0479452054794521
"can get a",14,"can","get","a",0.132075471698113
"can you please",14,"can","you","please",0.106060606060606
"chance to win",14,"chance","to","win",0.181818181818182
"dont have to",14,"dont","have","to",0.285714285714286
"dont know what",14,"dont","know","what",0.164705882352941
"excited to see",14,"excited","to","see",0.132075471698113
"feel like a",14,"feel","like","a",0.0838323353293413
"find a way",14,"find","a","way",0.14
"for a day",14,"for","a","day",0.0141557128412538
"for following me",14,"for","following","me",0.179487179487179
"for them to",14,"for","them","to",0.164705882352941
"friend of mine",14,"friend","of","mine",0.636363636363636
"from the start",14,"from","the","start",0.0170109356014581
"gave me a",14,"gave","me","a",0.254545454545455
"give you a",14,"give","you","a",0.21875
"have had a",14,"have","had","a",0.21875
"have the best",14,"have","the","best",0.0636363636363636
"have to admit",14,"have","to","admit",0.0202312138728324
"he has a",14,"he","has","a",0.114754098360656
"he is the",14,"he","is","the",0.0551181102362205
"he said he",14,"he","said","he",0.096551724137931
"he told me",14,"he","told","me",0.636363636363636
"he will be",14,"he","will","be",0.197183098591549
"here are the",14,"here","are","the",0.264150943396226
"how did you",14,"how","did","you",0.285714285714286
"i am sure",14,"i","am","sure",0.012962962962963
"i can find",14,"i","can","find",0.0234113712374582
"i can only",14,"i","can","only",0.0234113712374582
"i can say",14,"i","can","say",0.0234113712374582
"i did it",14,"i","did","it",0.0642201834862385
"i don't get",14,"i","don't","get",0.0253164556962025
"i felt like",14,"i","felt","like",0.181818181818182
"i finally got",14,"i","finally","got",0.285714285714286
"i got my",14,"i","got","my",0.0477815699658703
"i hate the",14,"i","hate","the",0.0921052631578947
"i love u",14,"i","love","u",0.0195258019525802
"i love when",14,"i","love","when",0.0195258019525802
"i need some",14,"i","need","some",0.0412979351032448
"i never thought",14,"i","never","thought",0.130841121495327
"i saw it",14,"i","saw","it",0.103703703703704
"i saw the",14,"i","saw","the",0.103703703703704
"i think she",14,"i","think","she",0.0183968462549277
"i think this",14,"i","think","this",0.0183968462549277
"i was there",14,"i","was","there",0.0124555160142349
"i would say",14,"i","would","say",0.0327102803738318
"if you could",14,"if","you","could",0.0152008686210641
"if you dont",14,"if","you","dont",0.0152008686210641
"if you would",14,"if","you","would",0.0152008686210641
"in the new",14,"in","the","new",0.003659174072138
"in the uk",14,"in","the","uk",0.003659174072138
"is a new",14,"is","a","new",0.0123784261715296
"is like a",14,"is","like","a",0.2
"is no longer",14,"is","no","longer",0.103703703703704
"is why i",14,"is","why","i",0.368421052631579
"it does not",14,"it","does","not",0.297872340425532
"it for the",14,"it","for","the",0.138613861386139
"it has to",14,"it","has","to",0.0958904109589041
"it is important",14,"it","is","important",0.0139720558882236
"it is in",14,"it","is","in",0.0139720558882236
"it seems to",14,"it","seems","to",0.162790697674419
"it would have",14,"it","would","have",0.0686274509803922
"its time to",14,"its","time","to",0.466666666666667
"just in time",14,"just","in","time",0.28
"keep it up",14,"keep","it","up",0.254545454545455
"keep up with",14,"keep","up","with",0.341463414634146
"kind of a",14,"kind","of","a",0.0593220338983051
"know how much",14,"know","how","much",0.116666666666667
"last night and",14,"last","night","and",0.0622222222222222
"like to think",14,"like","to","think",0.0532319391634981
"little bit of",14,"little","bit","of",0.264150943396226
"love to have",14,"love","to","have",0.0782122905027933
"love to hear",14,"love","to","hear",0.0782122905027933
"makes me want",14,"makes","me","want",0.132075471698113
"me as a",14,"me","as","a",0.259259259259259
"me i have",14,"me","i","have",0.0858895705521472
"me to be",14,"me","to","be",0.0454545454545455
"me when i",14,"me","when","i",0.411764705882353
"might as well",14,"might","as","well",0.933333333333333
"miss you too",14,"miss","you","too",0.155555555555556
"more than one",14,"more","than","one",0.049645390070922
"must have been",14,"must","have","been",0.23728813559322
"my life i",14,"my","life","i",0.0666666666666667
"new york times",14,"new","york","times",0.106060606060606
"next time i",14,"next","time","i",0.179487179487179
"next to me",14,"next","to","me",0.202898550724638
"not at all",14,"not","at","all",0.4375
"not have to",14,"not","have","to",0.166666666666667
"not that i",14,"not","that","i",0.21875
"of a new",14,"of","a","new",0.020260492040521
"of it i",14,"of","it","i",0.0689655172413793
"of the lord",14,"of","the","lord",0.00359250705671029
"of their own",14,"of","their","own",0.0804597701149425
"off to the",14,"off","to","the",0.152173913043478
"on the bus",14,"on","the","bus",0.00696864111498258
"on the street",14,"on","the","street",0.00696864111498258
"on the top",14,"on","the","top",0.00696864111498258
"out how to",14,"out","how","to",0.5
"out of his",14,"out","of","his",0.0246045694200351
"out of this",14,"out","of","this",0.0246045694200351
"quite a bit",14,"quite","a","bit",0.285714285714286
"really wanted to",14,"really","wanted","to",0.933333333333333
"rest of us",14,"rest","of","us",0.096551724137931
"say that i",14,"say","that","i",0.120689655172414
"see if i",14,"see","if","i",0.225806451612903
"see you all",14,"see","you","all",0.0576131687242798
"since i was",14,"since","i","was",0.147368421052632
"so i am",14,"so","i","am",0.0288659793814433
"so i don't",14,"so","i","don't",0.0288659793814433
"so that i",14,"so","that","i",0.116666666666667
"so that the",14,"so","that","the",0.116666666666667
"some of these",14,"some","of","these",0.0472972972972973
"that i don't",14,"that","i","don't",0.0187919463087248
"that i think",14,"that","i","think",0.0187919463087248
"that kind of",14,"that","kind","of",0.933333333333333
"the concept of",14,"the","concept","of",0.636363636363636
"the form of",14,"the","form","of",0.875
"the smell of",14,"the","smell","of",0.823529411764706
"the sound of",14,"the","sound","of",0.666666666666667
"the time of",14,"the","time","of",0.0486111111111111
"the title of",14,"the","title","of",0.424242424242424
"the type of",14,"the","type","of",0.777777777777778
"the way it",14,"the","way","it",0.0429447852760736
"the way they",14,"the","way","they",0.0429447852760736
"there is an",14,"there","is","an",0.0329411764705882
"they are all",14,"they","are","all",0.0311111111111111
"they had a",14,"they","had","a",0.160919540229885
"they have the",14,"they","have","the",0.0756756756756757
"think i can",14,"think","i","can",0.105263157894737
"think it is",14,"think","it","is",0.186666666666667
"this would be",14,"this","would","be",0.358974358974359
"thought i would",14,"thought","i","would",0.229508196721311
"time for a",14,"time","for","a",0.1
"to a new",14,"to","a","new",0.0315315315315315
"to add to",14,"to","add","to",0.21875
"to all who",14,"to","all","who",0.0813953488372093
"to be one",14,"to","be","one",0.00761283306144644
"to believe that",14,"to","believe","that",0.285714285714286
"to come out",14,"to","come","out",0.0823529411764706
"to focus on",14,"to","focus","on",0.875
"to get into",14,"to","get","into",0.0173267326732673
"to get this",14,"to","get","this",0.0173267326732673
"to have an",14,"to","have","an",0.0328638497652582
"to have been",14,"to","have","been",0.0328638497652582
"to have my",14,"to","have","my",0.0328638497652582
"to have to",14,"to","have","to",0.0328638497652582
"to keep up",14,"to","keep","up",0.0809248554913295
"to learn to",14,"to","learn","to",0.202898550724638
"to make this",14,"to","make","this",0.0275590551181102
"to me to",14,"to","me","to",0.0361757105943152
"to share with",14,"to","share","with",0.130841121495327
"to the gym",14,"to","the","gym",0.00669856459330144
"to the new",14,"to","the","new",0.00669856459330144
"to the public",14,"to","the","public",0.00669856459330144
"to this day",14,"to","this","day",0.0952380952380952
"to write about",14,"to","write","about",0.153846153846154
"try not to",14,"try","not","to",1
"use of the",14,"use","of","the",0.245614035087719
"wanna go to",14,"wanna","go","to",0.4375
"want to have",14,"want","to","have",0.0188172043010753
"we are looking",14,"we","are","looking",0.0316742081447964
"welcome to twitter",14,"welcome","to","twitter",0.177215189873418
"were able to",14,"were","able","to",1
"what can i",14,"what","can","i",0.538461538461538
"what you have",14,"what","you","have",0.0606060606060606
"when he was",14,"when","he","was",0.142857142857143
"whether or not",14,"whether","or","not",1
"who came out",14,"who","came","out",0.666666666666667
"with a few",14,"with","a","few",0.0196078431372549
"would it be",14,"would","it","be",0.518518518518518
"you as well",14,"you","as","well",0.341463414634146
"you can find",14,"you","can","find",0.0246045694200351
"you can make",14,"you","can","make",0.0246045694200351
"you for your",14,"you","for","your",0.0809248554913295
"you have no",14,"you","have","no",0.0282828282828283
"you think of",14,"you","think","of",0.0875
"a beautiful day",13,"a","beautiful","day",0.194029850746269
"a little too",13,"a","little","too",0.026
"a new one",13,"a","new","one",0.0367231638418079
"a whole lot",13,"a","whole","lot",0.2
"about it and",13,"about","it","and",0.062200956937799
"and how to",13,"and","how","to",0.144444444444444
"and i dont",13,"and","i","dont",0.0115864527629234
"and i still",13,"and","i","still",0.0115864527629234
"and i thought",13,"and","i","thought",0.0115864527629234
"and one of",13,"and","one","of",0.220338983050847
"and the fact",13,"and","the","fact",0.0115761353517364
"are a lot",13,"are","a","lot",0.0787878787878788
"are you still",13,"are","you","still",0.0326633165829146
"around the corner",13,"around","the","corner",0.0828025477707006
"as a kid",13,"as","a","kid",0.0201863354037267
"based on the",13,"based","on","the",0.180555555555556
"be a lot",13,"be","a","lot",0.0237659963436929
"been a while",13,"been","a","while",0.0902777777777778
"but he is",13,"but","he","is",0.134020618556701
"but he was",13,"but","he","was",0.134020618556701
"but i'm not",13,"but","i'm","not",0.1625
"but i like",13,"but","i","like",0.020440251572327
"can i get",13,"can","i","get",0.136842105263158
"can see the",13,"can","see","the",0.13
"check out my",13,"check","out","my",0.0787878787878788
"come out of",13,"come","out","of",0.224137931034483
"compared to the",13,"compared","to","the",0.342105263157895
"couple of years",13,"couple","of","years",0.0783132530120482
"day in the",13,"day","in","the",0.25
"don't even know",13,"don't","even","know",0.30952380952381
"don't know why",13,"don't","know","why",0.0855263157894737
"down the street",13,"down","the","street",0.121495327102804
"even if it",13,"even","if","it",0.151162790697674
"figure it out",13,"figure","it","out",1
"figure out how",13,"figure","out","how",0.240740740740741
"for a chance",13,"for","a","chance",0.0131445904954499
"for a week",13,"for","a","week",0.0131445904954499
"for a year",13,"for","a","year",0.0131445904954499
"for more info",13,"for","more","info",0.142857142857143
"for the night",13,"for","the","night",0.00663603879530373
"for the shout",13,"for","the","shout",0.00663603879530373
"for those of",13,"for","those","of",0.183098591549296
"get to know",13,"get","to","know",0.0722222222222222
"go for it",13,"go","for","it",0.276595744680851
"go to school",13,"go","to","school",0.0443686006825939
"going to go",13,"going","to","go",0.0148571428571429
"good for you",13,"good","for","you",0.276595744680851
"good to see",13,"good","to","see",0.141304347826087
"had a lot",13,"had","a","lot",0.0297482837528604
"have a few",13,"have","a","few",0.0142857142857143
"have been in",13,"have","been","in",0.0300925925925926
"have the same",13,"have","the","same",0.0590909090909091
"have to wait",13,"have","to","wait",0.0187861271676301
"he is not",13,"he","is","not",0.0511811023622047
"he needs to",13,"he","needs","to",0.684210526315789
"he wanted to",13,"he","wanted","to",0.5
"here and there",13,"here","and","there",0.194029850746269
"here at the",13,"here","at","the",0.342105263157895
"hit me up",13,"hit","me","up",0.619047619047619
"how much you",13,"how","much","you",0.089041095890411
"i'll be in",13,"i'll","be","in",0.0962962962962963
"i'm about to",13,"i'm","about","to",0.866666666666667
"i'm not a",13,"i'm","not","a",0.0628019323671498
"i am just",13,"i","am","just",0.012037037037037
"i can take",13,"i","can","take",0.0217391304347826
"i could see",13,"i","could","see",0.0433333333333333
"i didnt have",13,"i","didnt","have",0.160493827160494
"i don't wanna",13,"i","don't","wanna",0.0235081374321881
"i dont like",13,"i","dont","like",0.0560344827586207
"i find myself",13,"i","find","myself",0.166666666666667
"i found a",13,"i","found","a",0.13265306122449
"i had been",13,"i","had","been",0.0243445692883895
"i know he",13,"i","know","he",0.025440313111546
"i made a",13,"i","made","a",0.121495327102804
"i must be",13,"i","must","be",0.245283018867925
"i plan to",13,"i","plan","to",0.541666666666667
"i really do",13,"i","really","do",0.0593607305936073
"i really want",13,"i","really","want",0.0593607305936073
"i thought the",13,"i","thought","the",0.0524193548387097
"i want some",13,"i","want","some",0.0342105263157895
"i was looking",13,"i","was","looking",0.0115658362989324
"i was the",13,"i","was","the",0.0115658362989324
"if i don't",13,"if","i","don't",0.0326633165829146
"if we are",13,"if","we","are",0.11304347826087
"if you look",13,"if","you","look",0.0141150922909881
"in a new",13,"in","a","new",0.012218045112782
"in my heart",13,"in","my","heart",0.022108843537415
"in such a",13,"in","such","a",0.684210526315789
"in the early",13,"in","the","early",0.00339780449555672
"in the form",13,"in","the","form",0.00339780449555672
"in the fridge",13,"in","the","fridge",0.00339780449555672
"in the woods",13,"in","the","woods",0.00339780449555672
"is all about",13,"is","all","about",0.178082191780822
"is better than",13,"is","better","than",0.481481481481481
"is hard to",13,"is","hard","to",0.541666666666667
"is having a",13,"is","having","a",0.481481481481481
"is it a",13,"is","it","a",0.0680628272251309
"it i think",13,"it","i","think",0.0838709677419355
"it took me",13,"it","took","me",0.26530612244898
"it up and",13,"it","up","and",0.0984848484848485
"it was good",13,"it","was","good",0.0118613138686131
"it was time",13,"it","was","time",0.0118613138686131
"just woke up",13,"just","woke","up",0.928571428571429
"know if i",13,"know","if","i",0.135416666666667
"know that i",13,"know","that","i",0.0792682926829268
"like a good",13,"like","a","good",0.0311750599520384
"listen to the",13,"listen","to","the",0.13
"lot of the",13,"lot","of","the",0.0462633451957295
"make it happen",13,"make","it","happen",0.0710382513661202
"may be a",13,"may","be","a",0.0860927152317881
"me in a",13,"me","in","a",0.116071428571429
"moment when you",13,"moment","when","you",0.325
"mothers day to",13,"mothers","day","to",0.26530612244898
"my life is",13,"my","life","is",0.0619047619047619
"need to stop",13,"need","to","stop",0.0237659963436929
"needless to say",13,"needless","to","say",1
"nice to see",13,"nice","to","see",0.194029850746269
"no idea how",13,"no","idea","how",0.178082191780822
"no one is",13,"no","one","is",0.0849673202614379
"not sure how",13,"not","sure","how",0.127450980392157
"not want to",13,"not","want","to",0.684210526315789
"nothing more than",13,"nothing","more","than",0.481481481481481
"now and then",13,"now","and","then",0.173333333333333
"now that the",13,"now","that","the",0.149425287356322
"of course the",13,"of","course","the",0.0459363957597173
"of the last",13,"of","the","last",0.00333589940980241
"of the many",13,"of","the","many",0.00333589940980241
"of the old",13,"of","the","old",0.00333589940980241
"of the way",13,"of","the","way",0.00333589940980241
"on the ground",13,"on","the","ground",0.00647088103534097
"on this one",13,"on","this","one",0.0666666666666667
"one in the",13,"one","in","the",0.317073170731707
"one of your",13,"one","of","your",0.016602809706258
"out at the",13,"out","at","the",0.325
"over the course",13,"over","the","course",0.0474452554744526
"parts of the",13,"parts","of","the",0.393939393939394
"people who have",13,"people","who","have",0.0896551724137931
"proud of you",13,"proud","of","you",0.203125
"proud to be",13,"proud","to","be",0.464285714285714
"ready for a",13,"ready","for","a",0.10077519379845
"see you on",13,"see","you","on",0.0534979423868313
"should have been",13,"should","have","been",0.149425287356322
"so glad you",13,"so","glad","you",0.325
"so i decided",13,"so","i","decided",0.0268041237113402
"so when i",13,"so","when","i",0.351351351351351
"such a great",13,"such","a","great",0.0588235294117647
"talk to you",13,"talk","to","you",0.144444444444444
"tell you that",13,"tell","you","that",0.117117117117117
"that's a good",13,"that's","a","good",0.191176470588235
"that he had",13,"that","he","had",0.0663265306122449
"that i didn't",13,"that","i","didn't",0.0174496644295302
"that i do",13,"that","i","do",0.0174496644295302
"that i dont",13,"that","i","dont",0.0174496644295302
"that i want",13,"that","i","want",0.0174496644295302
"that it will",13,"that","it","will",0.0567685589519651
"that makes me",13,"that","makes","me",0.240740740740741
"that no one",13,"that","no","one",0.382352941176471
"the cost of",13,"the","cost","of",0.590909090909091
"the first of",13,"the","first","of",0.0242990654205607
"the last day",13,"the","last","day",0.0469314079422383
"the level of",13,"the","level","of",0.764705882352941
"the life of",13,"the","life","of",0.382352941176471
"the living room",13,"the","living","room",0.590909090909091
"the loss of",13,"the","loss","of",0.8125
"the meaning of",13,"the","meaning","of",0.866666666666667
"the new year",13,"the","new","year",0.0456140350877193
"the next few",13,"the","next","few",0.0483271375464684
"the next one",13,"the","next","one",0.0483271375464684
"the same as",13,"the","same","as",0.0248091603053435
"the way that",13,"the","way","that",0.0398773006134969
"the way we",13,"the","way","we",0.0398773006134969
"the whole thing",13,"the","whole","thing",0.1
"there is one",13,"there","is","one",0.0305882352941176
"think i was",13,"think","i","was",0.0977443609022556
"think of the",13,"think","of","the",0.105691056910569
"time to go",13,"time","to","go",0.0402476780185759
"to be found",13,"to","be","found",0.00706905927134312
"to be over",13,"to","be","over",0.00706905927134312
"to be with",13,"to","be","with",0.00706905927134312
"to do in",13,"to","do","in",0.0174029451137885
"to do what",13,"to","do","what",0.0174029451137885
"to get them",13,"to","get","them",0.0160891089108911
"to give up",13,"to","give","up",0.0698924731182796
"to hang out",13,"to","hang","out",0.464285714285714
"to know how",13,"to","know","how",0.0637254901960784
"to me in",13,"to","me","in",0.0335917312661499
"to say about",13,"to","say","about",0.0471014492753623
"to seeing you",13,"to","seeing","you",0.464285714285714
"to take it",13,"to","take","it",0.0530612244897959
"to the end",13,"to","the","end",0.0062200956937799
"to the other",13,"to","the","other",0.0062200956937799
"to think of",13,"to","think","of",0.146067415730337
"to use the",13,"to","use","the",0.0896551724137931
"to work for",13,"to","work","for",0.0637254901960784
"told me that",13,"told","me","that",0.152941176470588
"trying to do",13,"trying","to","do",0.0392749244712991
"two years ago",13,"two","years","ago",0.276595744680851
"up all night",13,"up","all","night",0.448275862068966
"up at the",13,"up","at","the",0.203125
"view of the",13,"view","of","the",0.619047619047619
"want to say",13,"want","to","say",0.0174731182795699
"wanted to see",13,"wanted","to","see",0.0599078341013825
"was about to",13,"was","about","to",0.333333333333333
"was in a",13,"was","in","a",0.0921985815602837
"was the only",13,"was","the","only",0.0415335463258786
"way to start",13,"way","to","start",0.0459363957597173
"we are all",13,"we","are","all",0.0294117647058824
"we have the",13,"we","have","the",0.0330788804071247
"we were in",13,"we","were","in",0.0601851851851852
"well as a",13,"well","as","a",0.0977443609022556
"went back to",13,"went","back","to",0.619047619047619
"were in the",13,"were","in","the",0.282608695652174
"what's going on",13,"what's","going","on",0.928571428571429
"what are your",13,"what","are","your",0.136842105263158
"what i had",13,"what","i","had",0.0402476780185759
"what i want",13,"what","i","want",0.0402476780185759
"what i wanted",13,"what","i","wanted",0.0402476780185759
"what they are",13,"what","they","are",0.154761904761905
"what would you",13,"what","would","you",0.325
"what you need",13,"what","you","need",0.0562770562770563
"when i see",13,"when","i","see",0.0217391304347826
"when it is",13,"when","it","is",0.0902777777777778
"why do i",13,"why","do","i",0.220338983050847
"with all of",13,"with","all","of",0.168831168831169
"with one of",13,"with","one","of",0.26
"would not be",13,"would","not","be",0.236363636363636
"years ago i",13,"years","ago","i",0.116071428571429
"you are in",13,"you","are","in",0.0236363636363636
"you are interested",13,"you","are","interested",0.0236363636363636
"you can be",13,"you","can","be",0.0228471001757469
"you can use",13,"you","can","use",0.0228471001757469
"you coming to",13,"you","coming","to",0.565217391304348
"you dont have",13,"you","dont","have",0.168831168831169
"you have the",13,"you","have","the",0.0262626262626263
"you in a",13,"you","in","a",0.109243697478992
"you like the",13,"you","like","the",0.1
"you should be",13,"you","should","be",0.102362204724409
"you think the",13,"you","think","the",0.08125
"you to all",13,"you","to","all",0.0577777777777778
"you with a",13,"you","with","a",0.282608695652174
"a bottle of",12,"a","bottle","of",0.666666666666667
"a few things",12,"a","few","things",0.0273972602739726
"a good night",12,"a","good","night",0.0228136882129278
"a handful of",12,"a","handful","of",1
"a link to",12,"a","link","to",0.545454545454545
"a little better",12,"a","little","better",0.024
"a long day",12,"a","long","day",0.0789473684210526
"a person who",12,"a","person","who",0.226415094339623
"a really good",12,"a","really","good",0.266666666666667
"a shout out",12,"a","shout","out",0.857142857142857
"a total of",12,"a","total","of",0.5
"a week ago",12,"a","week","ago",0.0983606557377049
"a week and",12,"a","week","and",0.0983606557377049
"about all the",12,"about","all","the",0.6
"across the street",12,"across","the","street",0.141176470588235
"all i want",12,"all","i","want",0.101694915254237
"all the other",12,"all","the","other",0.0203045685279188
"an example of",12,"an","example","of",0.631578947368421
"an opportunity to",12,"an","opportunity","to",0.5
"and a new",12,"and","a","new",0.0222634508348794
"and all of",12,"and","all","of",0.094488188976378
"and i'm not",12,"and","i'm","not",0.109090909090909
"and i'm still",12,"and","i'm","still",0.109090909090909
"and i went",12,"and","i","went",0.0106951871657754
"and it has",12,"and","it","has",0.0383386581469649
"and you have",12,"and","you","have",0.0631578947368421
"any of you",12,"any","of","you",0.142857142857143
"appears to be",12,"appears","to","be",0.666666666666667
"as for the",12,"as","for","the",0.352941176470588
"as i do",12,"as","i","do",0.0434782608695652
"as if i",12,"as","if","i",0.151898734177215
"as well and",12,"as","well","and",0.0372670807453416
"at all i",12,"at","all","i",0.0670391061452514
"at that point",12,"at","that","point",0.157894736842105
"at the bottom",12,"at","the","bottom",0.00913937547600914
"be a better",12,"be","a","better",0.0219378427787934
"be the same",12,"be","the","same",0.0433212996389892
"believe that the",12,"believe","that","the",0.157894736842105
"but at least",12,"but","at","least",0.387096774193548
"but i will",12,"but","i","will",0.0188679245283019
"but that was",12,"but","that","was",0.144578313253012
"but there was",12,"but","there","was",0.19672131147541
"by the end",12,"by","the","end",0.0227272727272727
"came out to",12,"came","out","to",0.203389830508475
"came up with",12,"came","up","with",0.48
"can't help but",12,"can't","help","but",0.8
"can have a",12,"can","have","a",0.292682926829268
"can i say",12,"can","i","say",0.126315789473684
"check them out",12,"check","them","out",0.923076923076923
"coming back to",12,"coming","back","to",0.428571428571429
"copy of the",12,"copy","of","the",0.387096774193548
"did you see",12,"did","you","see",0.0574162679425837
"didnt have to",12,"didnt","have","to",0.4
"do have a",12,"do","have","a",0.413793103448276
"early in the",12,"early","in","the",0.75
"even in the",12,"even","in","the",0.521739130434783
"even though it",12,"even","though","it",0.111111111111111
"excited about the",12,"excited","about","the",0.24
"fall in love",12,"fall","in","love",0.857142857142857
"feel like i'm",12,"feel","like","i'm",0.0718562874251497
"fell in love",12,"fell","in","love",0.923076923076923
"first time i",12,"first","time","i",0.0991735537190083
"focus on the",12,"focus","on","the",0.260869565217391
"for a good",12,"for","a","good",0.0121334681496461
"for following us",12,"for","following","us",0.153846153846154
"for her to",12,"for","her","to",0.108108108108108
"for the summer",12,"for","the","summer",0.00612557427258806
"for your support",12,"for","your","support",0.0677966101694915
"get a little",12,"get","a","little",0.0524017467248908
"get in the",12,"get","in","the",0.19047619047619
"had a blast",12,"had","a","blast",0.0274599542334096
"had a chance",12,"had","a","chance",0.0274599542334096
"had a dream",12,"had","a","dream",0.0274599542334096
"happy th birthday",12,"happy","th","birthday",0.666666666666667
"happy to be",12,"happy","to","be",0.146341463414634
"happy with the",12,"happy","with","the",0.521739130434783
"has been the",12,"has","been","the",0.032258064516129
"have not been",12,"have","not","been",0.24
"have so many",12,"have","so","many",0.545454545454545
"have to make",12,"have","to","make",0.0173410404624277
"have you been",12,"have","you","been",0.0902255639097744
"headed to the",12,"headed","to","the",0.27906976744186
"here are a",12,"here","are","a",0.226415094339623
