"term","freq","s1","s2","s3","prob"
"and added a",10,"and","added","a",0.238095238095238
"and all my",10,"and","all","my",0.0205338809034908
"and although i",10,"and","although","i",0.25
"and as much",10,"and","as","much",0.0363636363636364
"and at times",10,"and","at","times",0.0671140939597315
"and be a",10,"and","be","a",0.0446428571428571
"and be able",10,"and","be","able",0.0446428571428571
"and be the",10,"and","be","the",0.0446428571428571
"and continues to",10,"and","continues","to",0.769230769230769
"and could not",10,"and","could","not",0.196078431372549
"and each of",10,"and","each","of",0.212765957446809
"and filled with",10,"and","filled","with",0.625
"and find a",10,"and","find","a",0.121951219512195
"and for your",10,"and","for","your",0.0284090909090909
"and get in",10,"and","get","in",0.0219298245614035
"and get on",10,"and","get","on",0.0219298245614035
"and getting ready",10,"and","getting","ready",0.111111111111111
"and give me",10,"and","give","me",0.102040816326531
"and give them",10,"and","give","them",0.102040816326531
"and has the",10,"and","has","the",0.0420168067226891
"and have some",10,"and","have","some",0.0219298245614035
"and he didn't",10,"and","he","didn't",0.0154798761609907
"and he told",10,"and","he","told",0.0154798761609907
"and i'm a",10,"and","i'm","a",0.0224215246636771
"and i mean",10,"and","i","mean",0.00230149597238205
"and i only",10,"and","i","only",0.00230149597238205
"and i started",10,"and","i","started",0.00230149597238205
"and i take",10,"and","i","take",0.00230149597238205
"and i to",10,"and","i","to",0.00230149597238205
"and ice cream",10,"and","ice","cream",0.384615384615385
"and instead of",10,"and","instead","of",0.32258064516129
"and it's all",10,"and","it's","all",0.0327868852459016
"and it's only",10,"and","it's","only",0.0327868852459016
"and it could",10,"and","it","could",0.00821018062397373
"and it doesnt",10,"and","it","doesnt",0.00821018062397373
"and it had",10,"and","it","had",0.00821018062397373
"and it never",10,"and","it","never",0.00821018062397373
"and it takes",10,"and","it","takes",0.00821018062397373
"and just like",10,"and","just","like",0.0381679389312977
"and lots and",10,"and","lots","and",0.114942528735632
"and loved it",10,"and","loved","it",0.294117647058824
"and loving it",10,"and","loving","it",0.277777777777778
"and making the",10,"and","making","the",0.116279069767442
"and may be",10,"and","may","be",0.169491525423729
"and more than",10,"and","more","than",0.0229357798165138
"and must be",10,"and","must","be",0.384615384615385
"and my friend",10,"and","my","friend",0.013869625520111
"and my friends",10,"and","my","friends",0.013869625520111
"and no matter",10,"and","no","matter",0.0444444444444444
"and not only",10,"and","not","only",0.0174825174825175
"and nothing else",10,"and","nothing","else",0.212765957446809
"and now my",10,"and","now","my",0.0232018561484919
"and now we",10,"and","now","we",0.0232018561484919
"and on a",10,"and","on","a",0.040650406504065
"and on top",10,"and","on","top",0.040650406504065
"and one for",10,"and","one","for",0.0380228136882129
"and over and",10,"and","over","and",0.0680272108843537
"and picked up",10,"and","picked","up",0.833333333333333
"and plan to",10,"and","plan","to",0.555555555555556
"and put a",10,"and","put","a",0.0704225352112676
"and said he",10,"and","said","he",0.0649350649350649
"and said i",10,"and","said","i",0.0649350649350649
"and said that",10,"and","said","that",0.0649350649350649
"and saw the",10,"and","saw","the",0.147058823529412
"and set it",10,"and","set","it",0.169491525423729
"and she had",10,"and","she","had",0.0238663484486874
"and she told",10,"and","she","told",0.0238663484486874
"and so far",10,"and","so","far",0.0242718446601942
"and so forth",10,"and","so","forth",0.0242718446601942
"and so he",10,"and","so","he",0.0242718446601942
"and sometimes i",10,"and","sometimes","i",0.125
"and tell you",10,"and","tell","you",0.0934579439252336
"and that's the",10,"and","that's","the",0.0840336134453782
"and that's why",10,"and","that's","why",0.0840336134453782
"and that will",10,"and","that","will",0.012853470437018
"and the bad",10,"and","the","bad",0.00212947189097104
"and the end",10,"and","the","end",0.00212947189097104
"and the right",10,"and","the","right",0.00212947189097104
"and the winner",10,"and","the","winner",0.00212947189097104
"and then i'll",10,"and","then","i'll",0.00694444444444444
"and then one",10,"and","then","one",0.00694444444444444
"and these are",10,"and","these","are",0.208333333333333
"and this one",10,"and","this","one",0.0294117647058824
"and to get",10,"and","to","get",0.01953125
"and to make",10,"and","to","make",0.01953125
"and today i",10,"and","today","i",0.169491525423729
"and waiting for",10,"and","waiting","for",0.434782608695652
"and watching the",10,"and","watching","the",0.188679245283019
"and we just",10,"and","we","just",0.0116009280742459
"and when she",10,"and","when","she",0.0332225913621262
"and will make",10,"and","will","make",0.032051282051282
"and will probably",10,"and","will","probably",0.032051282051282
"and would like",10,"and","would","like",0.10752688172043
"and would love",10,"and","would","love",0.10752688172043
"and you're not",10,"and","you're","not",0.133333333333333
"and you might",10,"and","you","might",0.0127877237851662
"another part of",10,"another","part","of",0.909090909090909
"any number of",10,"any","number","of",0.833333333333333
"any of that",10,"any","of","that",0.0306748466257669
"any one of",10,"any","one","of",0.333333333333333
"any time to",10,"any","time","to",0.0917431192660551
"anyone else think",10,"anyone","else","think",0.0492610837438424
"anyone interested in",10,"anyone","interested","in",0.666666666666667
"anyone out there",10,"anyone","out","there",1
"anything else that",10,"anything","else","that",0.103092783505155
"apologies for the",10,"apologies","for","the",0.625
"are better than",10,"are","better","than",0.238095238095238
"are capable of",10,"are","capable","of",1
"are difficult to",10,"are","difficult","to",0.714285714285714
"are doing a",10,"are","doing","a",0.0735294117647059
"are familiar with",10,"are","familiar","with",1
"are happy to",10,"are","happy","to",0.3125
"are involved in",10,"are","involved","in",0.666666666666667
"are made of",10,"are","made","of",0.142857142857143
"are more important",10,"are","more","important",0.0671140939597315
"are not to",10,"are","not","to",0.0153609831029186
"are off to",10,"are","off","to",0.37037037037037
"are on a",10,"are","on","a",0.0561797752808989
"are the worst",10,"are","the","worst",0.0110741971207087
"are two of",10,"are","two","of",0.120481927710843
"are very excited",10,"are","very","excited",0.0625
"are very welcome",10,"are","very","welcome",0.0625
"are we gonna",10,"are","we","gonna",0.0595238095238095
"are what we",10,"are","what","we",0.27027027027027
"are you from",10,"are","you","from",0.00628930817610063
"are you headed",10,"are","you","headed",0.00628930817610063
"are you moving",10,"are","you","moving",0.00628930817610063
"are you planning",10,"are","you","planning",0.00628930817610063
"are you really",10,"are","you","really",0.00628930817610063
"around the neighborhood",10,"around","the","neighborhood",0.0143266475644699
"as a means",10,"as","a","means",0.00409165302782324
"as a team",10,"as","a","team",0.00409165302782324
"as a woman",10,"as","a","woman",0.00409165302782324
"as high as",10,"as","high","as",0.833333333333333
"as i got",10,"as","i","got",0.00853242320819113
"as i would",10,"as","i","would",0.00853242320819113
"as if to",10,"as","if","to",0.0333333333333333
"as many people",10,"as","many","people",0.0775193798449612
"as much fun",10,"as","much","fun",0.0221729490022173
"as of late",10,"as","of","late",0.104166666666667
"as the day",10,"as","the","day",0.00703729767769177
"as the most",10,"as","the","most",0.00703729767769177
"as there is",10,"as","there","is",0.24390243902439
"as they can",10,"as","they","can",0.0259067357512953
"as they did",10,"as","they","did",0.0259067357512953
"as they say",10,"as","they","say",0.0259067357512953
"as we get",10,"as","we","get",0.0206611570247934
"as well this",10,"as","well","this",0.00821018062397373
"as well with",10,"as","well","with",0.00821018062397373
"as you might",10,"as","you","might",0.0217391304347826
"ask them to",10,"ask","them","to",0.454545454545455
"asked if she",10,"asked","if","she",0.128205128205128
"at a restaurant",10,"at","a","restaurant",0.0105708245243129
"at all that",10,"at","all","that",0.0149700598802395
"at first glance",10,"at","first","glance",0.0719424460431655
"at least minutes",10,"at","least","minutes",0.00847457627118644
"at room temperature",10,"at","room","temperature",0.909090909090909
"at the hands",10,"at","the","hands",0.00188821752265861
"at the point",10,"at","the","point",0.00188821752265861
"at the school",10,"at","the","school",0.00188821752265861
"at the thought",10,"at","the","thought",0.00188821752265861
"at what you",10,"at","what","you",0.133333333333333
"at you and",10,"at","you","and",0.078125
"attention to detail",10,"attention","to","detail",0.072463768115942
"away from her",10,"away","from","her",0.0202429149797571
"away from his",10,"away","from","his",0.0202429149797571
"away from it",10,"away","from","it",0.0202429149797571
"back for more",10,"back","for","more",0.119047619047619
"back of a",10,"back","of","a",0.0574712643678161
"back of his",10,"back","of","his",0.0574712643678161
"back of your",10,"back","of","your",0.0574712643678161
"back to bed",10,"back","to","bed",0.0069204152249135
"based on my",10,"based","on","my",0.0289855072463768
"be a fan",10,"be","a","fan",0.00476417341591234
"be a nice",10,"be","a","nice",0.00476417341591234
"be afraid of",10,"be","afraid","of",0.188679245283019
"be ashamed of",10,"be","ashamed","of",0.555555555555556
"be attending the",10,"be","attending","the",0.5
"be available to",10,"be","available","to",0.142857142857143
"be back to",10,"be","back","to",0.0473933649289099
"be back with",10,"be","back","with",0.0473933649289099
"be based on",10,"be","based","on",0.833333333333333
"be easy to",10,"be","easy","to",0.256410256410256
"be found here",10,"be","found","here",0.0900900900900901
"be happy with",10,"be","happy","with",0.0769230769230769
"be in nyc",10,"be","in","nyc",0.0167224080267559
"be known as",10,"be","known","as",0.3125
"be like a",10,"be","like","a",0.0636942675159236
"be my friend",10,"be","my","friend",0.0617283950617284
"be open to",10,"be","open","to",0.227272727272727
"be perfect for",10,"be","perfect","for",0.227272727272727
"be prepared for",10,"be","prepared","for",0.25
"be sure that",10,"be","sure","that",0.0403225806451613
"be the biggest",10,"be","the","biggest",0.00963391136801541
"because i do",10,"because","i","do",0.0125470514429109
"because i really",10,"because","i","really",0.0125470514429109
"because it will",10,"because","it","will",0.0273224043715847
"because of her",10,"because","of","her",0.0175746924428823
"because of it",10,"because","of","it",0.0175746924428823
"because of what",10,"because","of","what",0.0175746924428823
"because you can",10,"because","you","can",0.0490196078431373
"because you have",10,"because","you","have",0.0490196078431373
"become one of",10,"become","one","of",0.666666666666667
"become part of",10,"become","part","of",1
"bed in the",10,"bed","in","the",0.476190476190476
"been a really",10,"been","a","really",0.0167224080267559
"been involved in",10,"been","involved","in",0.555555555555556
"been so busy",10,"been","so","busy",0.0769230769230769
"been the same",10,"been","the","same",0.0699300699300699
"been there done",10,"been","there","done",0.102040816326531
"been there for",10,"been","there","for",0.102040816326531
"been unable to",10,"been","unable","to",1
"before he was",10,"before","he","was",0.10752688172043
"before they were",10,"before","they","were",0.106382978723404
"before you get",10,"before","you","get",0.0492610837438424
"beginning of a",10,"beginning","of","a",0.0680272108843537
"being a part",10,"being","a","part",0.0260416666666667
"believe me i",10,"believe","me","i",0.181818181818182
"believe there are",10,"believe","there","are",0.625
"believe this is",10,"believe","this","is",0.27027027027027
"best for me",10,"best","for","me",0.12987012987013
"better to be",10,"better","to","be",0.135135135135135
"better when i",10,"better","when","i",0.256410256410256
"big deal but",10,"big","deal","but",0.135135135135135
"big fat independent",10,"big","fat","independent",0.384615384615385
"bigger and better",10,"bigger","and","better",0.476190476190476
"book that i",10,"book","that","i",0.204081632653061
"born and raised",10,"born","and","raised",0.3125
"both of those",10,"both","of","those",0.0588235294117647
"bottom line is",10,"bottom","line","is",0.285714285714286
"bottom of your",10,"bottom","of","your",0.0775193798449612
"bought me a",10,"bought","me","a",0.416666666666667
"break from the",10,"break","from","the",0.169491525423729
"bring out the",10,"bring","out","the",0.5
"brother and i",10,"brother","and","i",0.204081632653061
"buried in the",10,"buried","in","the",0.384615384615385
"but also to",10,"but","also","to",0.053475935828877
"but because of",10,"but","because","of",0.131578947368421
"but because they",10,"but","because","they",0.131578947368421
"but had a",10,"but","had","a",0.27027027027027
"but he still",10,"but","he","still",0.028328611898017
"but i bet",10,"but","i","bet",0.00374953130858643
"but i decided",10,"but","i","decided",0.00374953130858643
"but i felt",10,"but","i","felt",0.00374953130858643
"but i might",10,"but","i","might",0.00374953130858643
"but i must",10,"but","i","must",0.00374953130858643
"but i wasn't",10,"but","i","wasn't",0.00374953130858643
"but in fact",10,"but","in","fact",0.0381679389312977
"but it's also",10,"but","it's","also",0.0341296928327645
"but it could",10,"but","it","could",0.0104931794333683
"but it didn't",10,"but","it","didn't",0.0104931794333683
"but it feels",10,"but","it","feels",0.0104931794333683
"but just as",10,"but","just","as",0.126582278481013
"but let me",10,"but","let","me",0.476190476190476
"but no i",10,"but","no","i",0.0704225352112676
"but only in",10,"but","only","in",0.125
"but since i",10,"but","since","i",0.24390243902439
"but sometimes i",10,"but","sometimes","i",0.212765957446809
"but the good",10,"but","the","good",0.00980392156862745
"but they still",10,"but","they","still",0.0279329608938547
"but they will",10,"but","they","will",0.0279329608938547
"but this was",10,"but","this","was",0.0357142857142857
"but we do",10,"but","we","do",0.0273972602739726
"buy me a",10,"buy","me","a",0.384615384615385
"by and visit",10,"by","and","visit",0.072463768115942
"by the pool",10,"by","the","pool",0.00474158368895211
"by the spirit",10,"by","the","spirit",0.00474158368895211
"by this time",10,"by","this","time",0.0980392156862745
"cabin in the",10,"cabin","in","the",1
"call from the",10,"call","from","the",0.263157894736842
"call it quits",10,"call","it","quits",0.0546448087431694
"call me crazy",10,"call","me","crazy",0.043859649122807
"came from a",10,"came","from","a",0.120481927710843
"came home and",10,"came","home","and",0.138888888888889
"came in the",10,"came","in","the",0.0884955752212389
"came in with",10,"came","in","with",0.0884955752212389
"came up to",10,"came","up","to",0.101010101010101
"can't believe i'm",10,"can't","believe","i'm",0.050251256281407
"can't believe we",10,"can't","believe","we",0.050251256281407
"can't do anything",10,"can't","do","anything",0.166666666666667
"can't do that",10,"can't","do","that",0.166666666666667
"can't get any",10,"can't","get","any",0.0793650793650794
"can be no",10,"can","be","no",0.00852514919011083
"can change the",10,"can","change","the",0.188679245283019
"can check out",10,"can","check","out",0.5
"can do with",10,"can","do","with",0.0219298245614035
"can find them",10,"can","find","them",0.0632911392405063
"can get in",10,"can","get","in",0.0254452926208651
"can i buy",10,"can","i","buy",0.0225733634311512
"can keep up",10,"can","keep","up",0.196078431372549
"can say that",10,"can","say","that",0.108695652173913
"can see them",10,"can","see","them",0.028169014084507
"can see why",10,"can","see","why",0.028169014084507
"can still be",10,"can","still","be",0.10752688172043
"can we make",10,"can","we","make",0.0471698113207547
"car on the",10,"car","on","the",0.625
"care for the",10,"care","for","the",0.113636363636364
"care of you",10,"care","of","you",0.0467289719626168
"caught up with",10,"caught","up","with",0.135135135135135
"cause of death",10,"cause","of","death",0.135135135135135
"caused by a",10,"caused","by","a",0.204081632653061
"challenge this week",10,"challenge","this","week",0.526315789473684
"chance to meet",10,"chance","to","meet",0.0292397660818713
"check him out",10,"check","him","out",0.833333333333333
"checking us out",10,"checking","us","out",1
"cheer me up",10,"cheer","me","up",0.769230769230769
"choose to be",10,"choose","to","be",0.0854700854700855
"claimed to be",10,"claimed","to","be",0.555555555555556
"claims to be",10,"claims","to","be",0.476190476190476
"click here for",10,"click","here","for",0.25
"close to being",10,"close","to","being",0.034965034965035
"closer and closer",10,"closer","and","closer",0.625
"closest to the",10,"closest","to","the",0.5
"color of the",10,"color","of","the",0.32258064516129
"come close to",10,"come","close","to",0.714285714285714
"come to school",10,"come","to","school",0.0181818181818182
"come to terms",10,"come","to","terms",0.0181818181818182
"come to your",10,"come","to","your",0.0181818181818182
"come visit us",10,"come","visit","us",0.256410256410256
"come with me",10,"come","with","me",0.149253731343284
"comfortable with the",10,"comfortable","with","the",0.263157894736842
"coming from a",10,"coming","from","a",0.117647058823529
"coming out in",10,"coming","out","in",0.0704225352112676
"coming to see",10,"coming","to","see",0.0374531835205993
"contact with the",10,"contact","with","the",0.158730158730159
"corners of the",10,"corners","of","the",0.666666666666667
"could be better",10,"could","be","better",0.016750418760469
"could go to",10,"could","go","to",0.10752688172043
"could hear the",10,"could","hear","the",0.384615384615385
"could never be",10,"could","never","be",0.238095238095238
"could not get",10,"could","not","get",0.0515463917525773
"could not have",10,"could","not","have",0.0515463917525773
"could tell you",10,"could","tell","you",0.277777777777778
"could you please",10,"could","you","please",0.128205128205128
"coverage of the",10,"coverage","of","the",0.476190476190476
"cups of coffee",10,"cups","of","coffee",0.333333333333333
"curious to see",10,"curious","to","see",0.4
"currently working on",10,"currently","working","on",0.666666666666667
"dakota home school",10,"dakota","home","school",1
"dare i say",10,"dare","i","say",0.909090909090909
"dating back to",10,"dating","back","to",0.833333333333333
"day and it",10,"day","and","it",0.0294985250737463
"day closer to",10,"day","closer","to",1
"day is the",10,"day","is","the",0.0568181818181818
"day off to",10,"day","off","to",0.101010101010101
"day so i",10,"day","so","i",0.138888888888889
"day to the",10,"day","to","the",0.029673590504451
"day with the",10,"day","with","the",0.0763358778625954
"days after the",10,"days","after","the",0.217391304347826
"deal with that",10,"deal","with","that",0.0425531914893617
"decide whether to",10,"decide","whether","to",0.384615384615385
"described as a",10,"described","as","a",0.222222222222222
"deserves to be",10,"deserves","to","be",0.454545454545455
"designed to be",10,"designed","to","be",0.131578947368421
"desire to be",10,"desire","to","be",0.0934579439252336
"did in the",10,"did","in","the",0.24390243902439
"did not come",10,"did","not","come",0.0181818181818182
"didn't get the",10,"didn't","get","the",0.0735294117647059
"died on the",10,"died","on","the",0.526315789473684
"direction of the",10,"direction","of","the",0.303030303030303
"directly to the",10,"directly","to","the",0.384615384615385
"distracted by the",10,"distracted","by","the",0.4
"dm me your",10,"dm","me","your",0.0909090909090909
"dm you my",10,"dm","you","my",0.344827586206897
"do a great",10,"do","a","great",0.0340136054421769
"do any of",10,"do","any","of",0.285714285714286
"do anything about",10,"do","anything","about",0.0636942675159236
"do for a",10,"do","for","a",0.0840336134453782
"do for you",10,"do","for","you",0.0840336134453782
"do i feel",10,"do","i","feel",0.0206185567010309
"do i really",10,"do","i","really",0.0206185567010309
"do i think",10,"do","i","think",0.0206185567010309
"do know that",10,"do","know","that",0.208333333333333
"do not follow",10,"do","not","follow",0.0126742712294043
"do so much",10,"do","so","much",0.0581395348837209
"do something with",10,"do","something","with",0.050761421319797
"do the best",10,"do","the","best",0.0260416666666667
"do the job",10,"do","the","job",0.0260416666666667
"do to make",10,"do","to","make",0.0636942675159236
"do we do",10,"do","we","do",0.0518134715025907
"do what is",10,"do","what","is",0.0636942675159236
"do what we",10,"do","what","we",0.0636942675159236
"do with your",10,"do","with","your",0.0311526479750779
"do you believe",10,"do","you","believe",0.00542005420054201
"do you call",10,"do","you","call",0.00542005420054201
"does have a",10,"does","have","a",0.344827586206897
"does not matter",10,"does","not","matter",0.0201207243460765
"doesnt seem to",10,"doesnt","seem","to",0.454545454545455
"doing the right",10,"doing","the","right",0.0617283950617284
"don't be a",10,"don't","be","a",0.0869565217391304
"don't care who",10,"don't","care","who",0.0694444444444444
"don't do it",10,"don't","do","it",0.153846153846154
"don't have it",10,"don't","have","it",0.0209205020920502
"don't have that",10,"don't","have","that",0.0209205020920502
"don't know but",10,"don't","know","but",0.0145348837209302
"don't know that",10,"don't","know","that",0.0145348837209302
"don't know you",10,"don't","know","you",0.0145348837209302
"don't see the",10,"don't","see","the",0.114942528735632
"don't seem to",10,"don't","seem","to",0.666666666666667
"don't talk about",10,"don't","talk","about",0.333333333333333
"don't wanna be",10,"don't","wanna","be",0.126582278481013
"dont think it",10,"dont","think","it",0.078740157480315
"down the hall",10,"down","the","hall",0.0210526315789474
"down the line",10,"down","the","line",0.0210526315789474
"down with a",10,"down","with","a",0.15625
"dream last night",10,"dream","last","night",1
"due to its",10,"due","to","its",0.024330900243309
"due to their",10,"due","to","their",0.024330900243309
"during the night",10,"during","the","night",0.0169491525423729
"each other the",10,"each","other","the",0.022075055187638
"early th century",10,"early","th","century",1
"easy to do",10,"easy","to","do",0.03690036900369
"end the day",10,"end","the","day",0.151515151515152
"enough that i",10,"enough","that","i",0.263157894736842
"enough to take",10,"enough","to","take",0.0202020202020202
"entered to win",10,"entered","to","win",0.909090909090909
"even if we",10,"even","if","we",0.0263852242744063
"even want to",10,"even","want","to",0.588235294117647
"even when we",10,"even","when","we",0.0757575757575758
"even with a",10,"even","with","a",0.169491525423729
"ever been to",10,"ever","been","to",0.123456790123457
"ever wanted to",10,"ever","wanted","to",0.625
"every aspect of",10,"every","aspect","of",0.833333333333333
"every moment of",10,"every","moment","of",0.37037037037037
"everyone on the",10,"everyone","on","the",0.294117647058824
"everyone seems to",10,"everyone","seems","to",0.769230769230769
"everything i have",10,"everything","i","have",0.105263157894737
"everything in my",10,"everything","in","my",0.135135135135135
"everything on the",10,"everything","on","the",0.434782608695652
"everything you do",10,"everything","you","do",0.123456790123457
"exactly what it",10,"exactly","what","it",0.0847457627118644
"excited about it",10,"excited","about","it",0.0609756097560976
"executive director of",10,"executive","director","of",0.555555555555556
"expected it to",10,"expected","it","to",0.909090909090909
"eye on the",10,"eye","on","the",0.192307692307692
"fact is that",10,"fact","is","that",0.303030303030303
"fact that a",10,"fact","that","a",0.0197628458498024
"fact that there",10,"fact","that","there",0.0197628458498024
"fairmont hotel in",10,"fairmont","hotel","in",1
"faith in god",10,"faith","in","god",0.133333333333333
"family and the",10,"family","and","the",0.0505050505050505
"far the most",10,"far","the","most",0.285714285714286
"fat independent movie",10,"fat","independent","movie",1
"feel as though",10,"feel","as","though",0.416666666666667
"felt like the",10,"felt","like","the",0.0595238095238095
"felt like we",10,"felt","like","we",0.0595238095238095
"few minutes later",10,"few","minutes","later",0.0980392156862745
"few years back",10,"few","years","back",0.062111801242236
"figured it was",10,"figured","it","was",0.25
"filled with a",10,"filled","with","a",0.0531914893617021
"finally decided to",10,"finally","decided","to",0.666666666666667
"finally figured out",10,"finally","figured","out",1
"finally get to",10,"finally","get","to",0.526315789473684
"find time to",10,"find","time","to",0.625
"first and then",10,"first","and","then",0.102040816326531
"first in a",10,"first","in","a",0.25
"first time you",10,"first","time","you",0.0200400801603206
"floor of the",10,"floor","of","the",0.434782608695652
"following you back",10,"following","you","back",0.138888888888889
"food for thought",10,"food","for","thought",0.2
"for a certain",10,"for","a","certain",0.00253036437246964
"for a fun",10,"for","a","fun",0.00253036437246964
"for a guy",10,"for","a","guy",0.00253036437246964
"for a large",10,"for","a","large",0.00253036437246964
"for a party",10,"for","a","party",0.00253036437246964
"for a show",10,"for","a","show",0.00253036437246964
"for a special",10,"for","a","special",0.00253036437246964
"for about years",10,"for","about","years",0.0595238095238095
"for an awesome",10,"for","an","awesome",0.0241545893719807
"for being my",10,"for","being","my",0.0490196078431373
"for dinner and",10,"for","dinner","and",0.0666666666666667
"for example in",10,"for","example","in",0.0425531914893617
"for first time",10,"for","first","time",0.3125
"for following i",10,"for","following","i",0.0337837837837838
"for god to",10,"for","god","to",0.25
"for having us",10,"for","having","us",0.149253731343284
"for her she",10,"for","her","she",0.026246719160105
"for i am",10,"for","i","am",0.144927536231884
"for me because",10,"for","me","because",0.00686341798215511
"for me was",10,"for","me","was",0.00686341798215511
"for minutes or",10,"for","minutes","or",0.075187969924812
"for now but",10,"for","now","but",0.0588235294117647
"for our children",10,"for","our","children",0.0199600798403194
"for reaching out",10,"for","reaching","out",0.833333333333333
"for some more",10,"for","some","more",0.0203252032520325
"for someone else",10,"for","someone","else",0.0934579439252336
"for stopping in",10,"for","stopping","in",0.153846153846154
"for taking the",10,"for","taking","the",0.217391304347826
"for that is",10,"for","that","is",0.0224719101123595
"for the american",10,"for","the","american",0.00124177325220415
"for the compliment",10,"for","the","compliment",0.00124177325220415
"for the help",10,"for","the","help",0.00124177325220415
"for the party",10,"for","the","party",0.00124177325220415
"for the re",10,"for","the","re",0.00124177325220415
"for the real",10,"for","the","real",0.00124177325220415
"for the ride",10,"for","the","ride",0.00124177325220415
"for the shoutout",10,"for","the","shoutout",0.00124177325220415
"for the top",10,"for","the","top",0.00124177325220415
"for the winter",10,"for","the","winter",0.00124177325220415
"for the worst",10,"for","the","worst",0.00124177325220415
"for this day",10,"for","this","day",0.0128700128700129
"for this post",10,"for","this","post",0.0128700128700129
"for two weeks",10,"for","two","weeks",0.08
"for us all",10,"for","us","all",0.0266666666666667
"for you as",10,"for","you","as",0.00962463907603465
"forward to sharing",10,"forward","to","sharing",0.0106044538706257
"forward to tomorrow",10,"forward","to","tomorrow",0.0106044538706257
"found at the",10,"found","at","the",0.357142857142857
"free tickets to",10,"free","tickets","to",0.476190476190476
"friday night lights",10,"friday","night","lights",0.0854700854700855
"from him and",10,"from","him","and",0.149253731343284
"from my phone",10,"from","my","phone",0.0229885057471264
"from the city",10,"from","the","city",0.00307408545957578
"from the floor",10,"from","the","floor",0.00307408545957578
"from the main",10,"from","the","main",0.00307408545957578
"from the old",10,"from","the","old",0.00307408545957578
"from the oven",10,"from","the","oven",0.00307408545957578
"from the point",10,"from","the","point",0.00307408545957578
"from the previous",10,"from","the","previous",0.00307408545957578
"from those who",10,"from","those","who",0.3125
"from under the",10,"from","under","the",0.526315789473684
"front of my",10,"front","of","my",0.0274725274725275
"full time job",10,"full","time","job",0.126582278481013
"further from the",10,"further","from","the",0.769230769230769
"gave us a",10,"gave","us","a",0.238095238095238
"george w bush",10,"george","w","bush",0.714285714285714
"get a rt",10,"get","a","rt",0.00995024875621891
"get excited about",10,"get","excited","about",0.37037037037037
"get home from",10,"get","home","from",0.128205128205128
"get in a",10,"get","in","a",0.0429184549356223
"get in for",10,"get","in","for",0.0429184549356223
"get in on",10,"get","in","on",0.0429184549356223
"get it right",10,"get","it","right",0.0195694716242661
"get it together",10,"get","it","together",0.0195694716242661
"get real rewards",10,"get","real","rewards",0.333333333333333
"get started on",10,"get","started","on",0.2
"get the message",10,"get","the","message",0.0164744645799012
"get the point",10,"get","the","point",0.0164744645799012
"get to sleep",10,"get","to","sleep",0.0140449438202247
"get you a",10,"get","you","a",0.0680272108843537
"gets to the",10,"gets","to","the",0.196078431372549
"getting a lot",10,"getting","a","lot",0.0476190476190476
"getting better and",10,"getting","better","and",0.25
"getting excited for",10,"getting","excited","for",0.434782608695652
"give me your",10,"give","me","your",0.0384615384615385
"given the opportunity",10,"given","the","opportunity",0.0961538461538462
"given to me",10,"given","to","me",0.151515151515152
"gives you a",10,"gives","you","a",0.178571428571429
"glad that i",10,"glad","that","i",0.2
"glad you got",10,"glad","you","got",0.04
"go a long",10,"go","a","long",0.32258064516129
"go into effect",10,"go","into","effect",0.10752688172043
"go of the",10,"go","of","the",0.2
"go out on",10,"go","out","on",0.0515463917525773
"go to that",10,"go","to","that",0.00778210116731518
"go up to",10,"go","up","to",0.212765957446809
"go where the",10,"go","where","the",0.434782608695652
"god and the",10,"god","and","the",0.104166666666667
"god of the",10,"god","of","the",0.256410256410256
"goes a long",10,"goes","a","long",0.769230769230769
"goes on and",10,"goes","on","and",0.103092783505155
"going so far",10,"going","so","far",0.588235294117647
"going to ask",10,"going","to","ask",0.00279251605696733
"going to cut",10,"going","to","cut",0.00279251605696733
"going to hell",10,"going","to","hell",0.00279251605696733
"going to kill",10,"going","to","kill",0.00279251605696733
"going to share",10,"going","to","share",0.00279251605696733
"going to show",10,"going","to","show",0.00279251605696733
"going to spend",10,"going","to","spend",0.00279251605696733
"going to stay",10,"going","to","stay",0.00279251605696733
"going to throw",10,"going","to","throw",0.00279251605696733
"gonna do it",10,"gonna","do","it",0.169491525423729
"gonna go to",10,"gonna","go","to",0.15625
"gonna take a",10,"gonna","take","a",0.476190476190476
"good as the",10,"good","as","the",0.123456790123457
"good day for",10,"good","day","for",0.0591715976331361
"good morning and",10,"good","morning","and",0.0197628458498024
"good morning i",10,"good","morning","i",0.0197628458498024
"good reason to",10,"good","reason","to",0.27027027027027
"got a job",10,"got","a","job",0.014265335235378
"got it in",10,"got","it","in",0.0518134715025907
"got my first",10,"got","my","first",0.050251256281407
"got some great",10,"got","some","great",0.0704225352112676
"great if you",10,"great","if","you",0.454545454545455
"great weekend and",10,"great","weekend","and",0.0628930817610063
"guess i'm not",10,"guess","i'm","not",0.277777777777778
"guess i was",10,"guess","i","was",0.0609756097560976
"guess this is",10,"guess","this","is",0.5
"had a bad",10,"had","a","bad",0.00545553737043099
"had a conversation",10,"had","a","conversation",0.00545553737043099
"had a fun",10,"had","a","fun",0.00545553737043099
"had a problem",10,"had","a","problem",0.00545553737043099
"had just been",10,"had","just","been",0.119047619047619
"had quite a",10,"had","quite","a",0.909090909090909
"had to keep",10,"had","to","keep",0.00946073793755913
