"term","freq","s1","s2","s3","s4","prob"
"in the morning and",7,"in","the","morning","and",0.125
"is it bad that",7,"is","it","bad","that",1
"is not going to",7,"is","not","going","to",1
"is the fact that",7,"is","the","fact","that",1
"it is one of",7,"it","is","one","of",1
"it is time to",7,"it","is","time","to",0.583333333333333
"it seems to me",7,"it","seems","to","me",0.5
"it was time to",7,"it","was","time","to",0.538461538461538
"its going to be",7,"its","going","to","be",0.636363636363636
"just a little bit",7,"just","a","little","bit",0.269230769230769
"look forward to seeing",7,"look","forward","to","seeing",0.12280701754386
"love of my life",7,"love","of","my","life",1
"me i love you",7,"me","i","love","you",0.7
"not much of a",7,"not","much","of","a",1
"now it's time to",7,"now","it's","time","to",0.777777777777778
"of my all time",7,"of","my","all","time",1
"of the united states",7,"of","the","united","states",0.636363636363636
"of the world is",7,"of","the","world","is",0.162790697674419
"on a daily basis",7,"on","a","daily","basis",0.875
"on the edge of",7,"on","the","edge","of",0.777777777777778
"one of the many",7,"one","of","the","many",0.0213414634146341
"reminds me of my",7,"reminds","me","of","my",0.25
"rest of the world",7,"rest","of","the","world",0.0853658536585366
"see you next week",7,"see","you","next","week",0.7
"shout out to all",7,"shout","out","to","all",0.28
"so much so that",7,"so","much","so","that",0.777777777777778
"so that i can",7,"so","that","i","can",0.5
"sounds like a great",7,"sounds","like","a","great",0.21875
"thank you for all",7,"thank","you","for","all",0.0507246376811594
"thanks for all the",7,"thanks","for","all","the",0.368421052631579
"thanks for following us",7,"thanks","for","following","us",0.12280701754386
"thanks for the love",7,"thanks","for","the","love",0.021671826625387
"thanks for the retweet",7,"thanks","for","the","retweet",0.021671826625387
"thanks for the rts",7,"thanks","for","the","rts",0.021671826625387
"thanks to all who",7,"thanks","to","all","who",0.28
"that i want to",7,"that","i","want","to",0.538461538461538
"the course of a",7,"the","course","of","a",0.304347826086957
"the difference between a",7,"the","difference","between","a",0.4375
"the end of a",7,"the","end","of","a",0.0583333333333333
"the fact that they",7,"the","fact","that","they",0.0619469026548673
"the idea of a",7,"the","idea","of","a",0.175
"the last day of",7,"the","last","day","of",0.538461538461538
"the last few years",7,"the","last","few","years",0.25
"the next time i",7,"the","next","time","i",0.583333333333333
"the only way to",7,"the","only","way","to",0.35
"the start of the",7,"the","start","of","the",0.368421052631579
"this will be the",7,"this","will","be","the",0.318181818181818
"to all of our",7,"to","all","of","our",0.212121212121212
"to be a better",7,"to","be","a","better",0.0321100917431193
"to be a long",7,"to","be","a","long",0.0321100917431193
"to be the best",7,"to","be","the","best",0.0813953488372093
"to check it out",7,"to","check","it","out",1
"to do with the",7,"to","do","with","the",0.0933333333333333
"to figure it out",7,"to","figure","it","out",1
"to get into the",7,"to","get","into","the",0.5
"to go to bed",7,"to","go","to","bed",0.0714285714285714
"to make sure i",7,"to","make","sure","i",0.205882352941176
"to make up for",7,"to","make","up","for",0.583333333333333
"trying to make it",7,"trying","to","make","it",0.318181818181818
"turns out to be",7,"turns","out","to","be",1
"us know if you",7,"us","know","if","you",0.583333333333333
"want to do it",7,"want","to","do","it",0.189189189189189
"wanted to be a",7,"wanted","to","be","a",0.269230769230769
"we can't wait to",7,"we","can't","wait","to",0.7
"we have to do",7,"we","have","to","do",0.116666666666667
"what are you going",7,"what","are","you","going",0.142857142857143
"what did you think",7,"what","did","you","think",0.291666666666667
"what i was doing",7,"what","i","was","doing",0.333333333333333
"what you need to",7,"what","you","need","to",0.538461538461538
"who do you think",7,"who","do","you","think",0.7
"will be on the",7,"will","be","on","the",0.333333333333333
"wish i had a",7,"wish","i","had","a",0.304347826086957
"would be a great",7,"would","be","a","great",0.12280701754386
"would like to be",7,"would","like","to","be",0.0945945945945946
"would love to hear",7,"would","love","to","hear",0.0864197530864197
"you are a true",7,"you","are","a","true",0.184210526315789
"you for the rt",7,"you","for","the","rt",0.12962962962963
"you have any questions",7,"you","have","any","questions",0.259259259259259
"you need to know",7,"you","need","to","know",0.1
"you want to know",7,"you","want","to","know",0.07
"a couple of months",6,"a","couple","of","months",0.0425531914893617
"a few of my",6,"a","few","of","my",0.285714285714286
"a few years ago",6,"a","few","years","ago",0.333333333333333
"a great time to",6,"a","great","time","to",0.153846153846154
"a long time ago",6,"a","long","time","ago",0.122448979591837
"a look at the",6,"a","look","at","the",0.352941176470588
"a lot of them",6,"a","lot","of","them",0.0223880597014925
"a week or so",6,"a","week","or","so",0.666666666666667
"a whole lot of",6,"a","whole","lot","of",0.461538461538462
"add boston add boston",6,"add","boston","add","boston",1
"all i want to",6,"all","i","want","to",0.5
"always going to be",6,"always","going","to","be",0.857142857142857
"am happy to say",6,"am","happy","to","say",0.75
"am i supposed to",6,"am","i","supposed","to",1
"and all of the",6,"and","all","of","the",0.5
"and i had to",6,"and","i","had","to",0.206896551724138
"and it was a",6,"and","it","was","a",0.109090909090909
"are the muslims who",6,"are","the","muslims","who",1
"as far as i",6,"as","far","as","i",0.2
"as far as the",6,"as","far","as","the",0.2
"as much as the",6,"as","much","as","the",0.0952380952380952
"asked me if i",6,"asked","me","if","i",0.857142857142857
"at the bottom of",6,"at","the","bottom","of",0.5
"at the grocery store",6,"at","the","grocery","store",1
"be a good idea",6,"be","a","good","idea",0.109090909090909
"be able to do",6,"be","able","to","do",0.0476190476190476
"be able to get",6,"be","able","to","get",0.0476190476190476
"be on the lookout",6,"be","on","the","lookout",0.206896551724138
"be part of the",6,"be","part","of","the",0.428571428571429
"be sure to check",6,"be","sure","to","check",0.133333333333333
"but at the same",6,"but","at","the","same",0.545454545454545
"but i have to",6,"but","i","have","to",0.193548387096774
"but in the end",6,"but","in","the","end",0.272727272727273
"can't wait to try",6,"can't","wait","to","try",0.0535714285714286
"cant wait to see",6,"cant","wait","to","see",0.333333333333333
"come see us at",6,"come","see","us","at",0.6
"despite the fact that",6,"despite","the","fact","that",1
"do i have to",6,"do","i","have","to",0.4
"do i need to",6,"do","i","need","to",0.75
"do my best to",6,"do","my","best","to",1
"do something about it",6,"do","something","about","it",0.666666666666667
"do you know how",6,"do","you","know","how",0.157894736842105
"do you want me",6,"do","you","want","me",0.206896551724138
"doesn't have to be",6,"doesn't","have","to","be",0.857142857142857
"fact that i have",6,"fact","that","i","have",0.3
"favorite thing to do",6,"favorite","thing","to","do",0.857142857142857
"feel bad for the",6,"feel","bad","for","the",0.666666666666667
"for a few hours",6,"for","a","few","hours",0.153846153846154
"for as long as",6,"for","as","long","as",1
"for some reason i",6,"for","some","reason","i",0.315789473684211
"for the heads up",6,"for","the","heads","up",1
"for the kind words",6,"for","the","kind","words",0.857142857142857
"for the sake of",6,"for","the","sake","of",1
"from one of the",6,"from","one","of","the",0.6
"glad to hear it",6,"glad","to","hear","it",0.352941176470588
"go back to the",6,"go","back","to","the",0.181818181818182
"going to be in",6,"going","to","be","in",0.0319148936170213
"going to see the",6,"going","to","see","the",0.24
"great to see you",6,"great","to","see","you",0.375
"great way to start",6,"great","way","to","start",0.230769230769231
"had nothing to do",6,"had","nothing","to","do",0.857142857142857
"happy new year everyone",6,"happy","new","year","everyone",0.181818181818182
"have the opportunity to",6,"have","the","opportunity","to",1
"have to do with",6,"have","to","do","with",0.142857142857143
"he is going to",6,"he","is","going","to",0.75
"hope everyone has a",6,"hope","everyone","has","a",0.75
"hope you like it",6,"hope","you","like","it",0.5
"how do i get",6,"how","do","i","get",0.3
"how do i know",6,"how","do","i","know",0.3
"how do you feel",6,"how","do","you","feel",0.130434782608696
"how many of you",6,"how","many","of","you",0.75
"how to do it",6,"how","to","do","it",0.315789473684211
"i'm just going to",6,"i'm","just","going","to",0.75
"i'm not sure how",6,"i'm","not","sure","how",0.24
"i am not sure",6,"i","am","not","sure",0.0857142857142857
"i am on the",6,"i","am","on","the",0.545454545454545
"i am so happy",6,"i","am","so","happy",0.101694915254237
"i can do is",6,"i","can","do","is",0.181818181818182
"i can do to",6,"i","can","do","to",0.181818181818182
"i can get a",6,"i","can","get","a",0.157894736842105
"i didnt want to",6,"i","didnt","want","to",0.666666666666667
"i don't think i",6,"i","don't","think","i",0.1
"i dont have a",6,"i","dont","have","a",0.285714285714286
"i dont know why",6,"i","dont","know","why",0.111111111111111
"i feel bad for",6,"i","feel","bad","for",0.75
"i feel the same",6,"i","feel","the","same",0.666666666666667
"i fell in love",6,"i","fell","in","love",1
"i have yet to",6,"i","have","yet","to",1
"i hope i can",6,"i","hope","i","can",0.285714285714286
"i hope you are",6,"i","hope","you","are",0.0882352941176471
"i hope you like",6,"i","hope","you","like",0.0882352941176471
"i know what i",6,"i","know","what","i",0.333333333333333
"i like the idea",6,"i","like","the","idea",0.1875
"i looked at the",6,"i","looked","at","the",0.375
"i remember when i",6,"i","remember","when","i",0.666666666666667
"i started this blog",6,"i","started","this","blog",0.6
"i the only one",6,"i","the","only","one",0.6
"i think i am",6,"i","think","i","am",0.0618556701030928
"i think i just",6,"i","think","i","just",0.0618556701030928
"i think i will",6,"i","think","i","will",0.0618556701030928
"i think that is",6,"i","think","that","is",0.176470588235294
"i think we can",6,"i","think","we","can",0.206896551724138
"i think you should",6,"i","think","you","should",0.214285714285714
"i thought i would",6,"i","thought","i","would",0.15
"i used to be",6,"i","used","to","be",0.111111111111111
"i used to know",6,"i","used","to","know",0.111111111111111
"i want it to",6,"i","want","it","to",0.545454545454545
"i want to thank",6,"i","want","to","thank",0.0317460317460317
"i was in a",6,"i","was","in","a",0.117647058823529
"i was so excited",6,"i","was","so","excited",0.162162162162162
"i would be so",6,"i","would","be","so",0.146341463414634
"if i want to",6,"if","i","want","to",0.857142857142857
"if you're going to",6,"if","you're","going","to",0.75
"if you are still",6,"if","you","are","still",0.0666666666666667
"if you don't want",6,"if","you","don't","want",0.115384615384615
"if you would like",6,"if","you","would","like",0.428571428571429
"im going to do",6,"im","going","to","do",0.146341463414634
"im not going to",6,"im","not","going","to",0.6
"in a few days",6,"in","a","few","days",0.176470588235294
"in a long time",6,"in","a","long","time",0.545454545454545
"in spite of the",6,"in","spite","of","the",0.4
"in the early s",6,"in","the","early","s",0.461538461538462
"in the first half",6,"in","the","first","half",0.115384615384615
"in the next few",6,"in","the","next","few",0.2
"is where it's at",6,"is","where","it's","at",1
"it's been a while",6,"it's","been","a","while",0.260869565217391
"it comes to the",6,"it","comes","to","the",0.115384615384615
"it doesn't have to",6,"it","doesn't","have","to",0.75
"it is going to",6,"it","is","going","to",1
"it is hard to",6,"it","is","hard","to",1
"it is to be",6,"it","is","to","be",0.285714285714286
"it was great to",6,"it","was","great","to",0.272727272727273
"it was time for",6,"it","was","time","for",0.461538461538462
"it will be a",6,"it","will","be","a",0.0952380952380952
"it will be the",6,"it","will","be","the",0.0952380952380952
"just as much as",6,"just","as","much","as",0.75
"just got back from",6,"just","got","back","from",0.75
"just one of those",6,"just","one","of","those",0.666666666666667
"just wanted to say",6,"just","wanted","to","say",0.315789473684211
"know if you have",6,"know","if","you","have",0.1875
"know what i mean",6,"know","what","i","mean",0.24
"let me know and",6,"let","me","know","and",0.0666666666666667
"let me know how",6,"let","me","know","how",0.0666666666666667
"let me know what",6,"let","me","know","what",0.0666666666666667
"let me tell you",6,"let","me","tell","you",0.857142857142857
"let us know what",6,"let","us","know","what",0.162162162162162
"like a lot of",6,"like","a","lot","of",0.545454545454545
"like the idea of",6,"like","the","idea","of",0.857142857142857
"like to think that",6,"like","to","think","that",0.428571428571429
"love to see you",6,"love","to","see","you",0.260869565217391
"may be able to",6,"may","be","able","to",1
"more likely to be",6,"more","likely","to","be",0.315789473684211
"mother's day to all",6,"mother's","day","to","all",0.75
"my all time favorite",6,"my","all","time","favorite",0.545454545454545
"need to do is",6,"need","to","do","is",0.25
"never thought i would",6,"never","thought","i","would",1
"no matter how hard",6,"no","matter","how","hard",0.206896551724138
"not be allowed to",6,"not","be","allowed","to",1
"not in a good",6,"not","in","a","good",0.5
"not looking forward to",6,"not","looking","forward","to",1
"of one of the",6,"of","one","of","the",0.333333333333333
"of the most important",6,"of","the","most","important",0.0909090909090909
"of the th century",6,"of","the","th","century",0.5
"on the lookout for",6,"on","the","lookout","for",0.75
"on the way home",6,"on","the","way","home",0.13953488372093
"on top of that",6,"on","top","of","that",0.15
"one of my all",6,"one","of","my","all",0.0447761194029851
"one of those days",6,"one","of","those","days",0.0789473684210526
"open to the public",6,"open","to","the","public",0.75
"or may not have",6,"or","may","not","have",0.5
"other side of the",6,"other","side","of","the",0.545454545454545
"out of the way",6,"out","of","the","way",0.0416666666666667
"out to be a",6,"out","to","be","a",0.222222222222222
"over medium high heat",6,"over","medium","high","heat",1
"please let me know",6,"please","let","me","know",1
"rest of my life",6,"rest","of","my","life",0.375
"see you at the",6,"see","you","at","the",0.24
"seems to be a",6,"seems","to","be","a",0.105263157894737
"seems to be the",6,"seems","to","be","the",0.105263157894737
"should be a good",6,"should","be","a","good",0.25
"should be able to",6,"should","be","able","to",1
"shut the fuck up",6,"shut","the","fuck","up",1
"so i had to",6,"so","i","had","to",0.857142857142857
"some of my favorite",6,"some","of","my","favorite",0.1875
"some of the other",6,"some","of","the","other",0.047244094488189
"something to do with",6,"something","to","do","with",0.4
"soon as i get",6,"soon","as","i","get",0.375
"such a thing as",6,"such","a","thing","as",0.5
"tell me what you",6,"tell","me","what","you",0.4
"tens of thousands of",6,"tens","of","thousands","of",0.857142857142857
"thank you for sharing",6,"thank","you","for","sharing",0.0434782608695652
"thanks for sharing your",6,"thanks","for","sharing","your",0.25
"that's a good thing",6,"that's","a","good","thing",0.461538461538462
"that i have a",6,"that","i","have","a",0.0789473684210526
"that is why i",6,"that","is","why","i",0.6
"that it is not",6,"that","it","is","not",0.146341463414634
"that no matter how",6,"that","no","matter","how",0.6
"that there is a",6,"that","there","is","a",0.260869565217391
"that would be a",6,"that","would","be","a",0.157894736842105
"the back of his",6,"the","back","of","his",0.162162162162162
"the edge of the",6,"the","edge","of","the",0.333333333333333
"the fact that it",6,"the","fact","that","it",0.0530973451327434
"the form of a",6,"the","form","of","a",0.428571428571429
"the inside of the",6,"the","inside","of","the",0.545454545454545
"the last few days",6,"the","last","few","days",0.214285714285714
"the last time you",6,"the","last","time","you",0.285714285714286
"the majority of the",6,"the","majority","of","the",0.375
"the same thing as",6,"the","same","thing","as",0.136363636363636
"the same way as",6,"the","same","way","as",0.222222222222222
"the sound of the",6,"the","sound","of","the",0.428571428571429
"the surface of the",6,"the","surface","of","the",0.6
"the united states and",6,"the","united","states","and",0.133333333333333
"the vast majority of",6,"the","vast","majority","of",1
"there is no way",6,"there","is","no","way",0.0652173913043478
"there would be a",6,"there","would","be","a",0.352941176470588
"this is a good",6,"this","is","a","good",0.0540540540540541
"this is going to",6,"this","is","going","to",0.666666666666667
"thought it was a",6,"thought","it","was","a",0.171428571428571
"to add to my",6,"to","add","to","my",0.428571428571429
"to catch up with",6,"to","catch","up","with",0.3
"to do something about",6,"to","do","something","about",0.2
"to do the right",6,"to","do","the","right",0.142857142857143
"to get away from",6,"to","get","away","from",0.545454545454545
"to give it a",6,"to","give","it","a",0.352941176470588
"to learn more about",6,"to","learn","more","about",0.857142857142857
"to look like a",6,"to","look","like","a",0.352941176470588
"to make sure that",6,"to","make","sure","that",0.176470588235294
"to one of my",6,"to","one","of","my",0.272727272727273
"to play in the",6,"to","play","in","the",0.6
"to point out that",6,"to","point","out","that",0.857142857142857
"to see if i",6,"to","see","if","i",0.166666666666667
"to see you again",6,"to","see","you","again",0.0588235294117647
"to see you on",6,"to","see","you","on",0.0588235294117647
"to share with you",6,"to","share","with","you",0.428571428571429
"to tell you about",6,"to","tell","you","about",0.181818181818182
"to the end of",6,"to","the","end","of",0.461538461538462
"to think about it",6,"to","think","about","it",0.285714285714286
"too much of a",6,"too","much","of","a",0.545454545454545
"vote vote vote vote",6,"vote","vote","vote","vote",0.857142857142857
"want to be in",6,"want","to","be","in",0.0769230769230769
"want to know what",6,"want","to","know","what",0.166666666666667
"want to take a",6,"want","to","take","a",0.5
"was looking forward to",6,"was","looking","forward","to",1
"was the only one",6,"was","the","only","one",0.461538461538462
"we are looking for",6,"we","are","looking","for",0.428571428571429
"we didn't get to",6,"we","didn't","get","to",0.75
"we have a new",6,"we","have","a","new",0.101694915254237
"we live in a",6,"we","live","in","a",0.666666666666667
"we look forward to",6,"we","look","forward","to",0.857142857142857
"we need to do",6,"we","need","to","do",0.0895522388059701
"we want to know",6,"we","want","to","know",0.181818181818182
"what did you do",6,"what","did","you","do",0.25
"what do i do",6,"what","do","i","do",0.857142857142857
"what i want to",6,"what","i","want","to",0.461538461538462
"what was going on",6,"what","was","going","on",0.857142857142857
"when are you coming",6,"when","are","you","coming",0.4
"when i went to",6,"when","i","went","to",0.857142857142857
"when it came to",6,"when","it","came","to",0.6
"when you have a",6,"when","you","have","a",0.285714285714286
"will be in the",6,"will","be","in","the",0.3
"will be one of",6,"will","be","one","of",0.75
"will be the first",6,"will","be","the","first",0.166666666666667
"will give you a",6,"will","give","you","a",0.5
"wish i was there",6,"wish","i","was","there",0.2
"with the idea of",6,"with","the","idea","of",1
"would be able to",6,"would","be","able","to",1
"would have been a",6,"would","have","been","a",0.176470588235294
"you and your family",6,"you","and","your","family",0.1875
"you are going to",6,"you","are","going","to",0.6
"you can get a",6,"you","can","get","a",0.222222222222222
"you dont want to",6,"you","dont","want","to",0.857142857142857
"you going to do",6,"you","going","to","do",0.2
"you had a great",6,"you","had","a","great",0.260869565217391
"you have no idea",6,"you","have","no","idea",0.428571428571429
"you will have a",6,"you","will","have","a",0.352941176470588
"a call from the",5,"a","call","from","the",0.714285714285714
"a couple of hours",5,"a","couple","of","hours",0.0354609929078014
"a couple of times",5,"a","couple","of","times",0.0354609929078014
"a cup of tea",5,"a","cup","of","tea",0.357142857142857
"a different kind of",5,"a","different","kind","of",1
"a great addition to",5,"a","great","addition","to",1
"a great time at",5,"a","great","time","at",0.128205128205128
"a list of things",5,"a","list","of","things",0.192307692307692
"a little more than",5,"a","little","more","than",0.151515151515152
"a lot of my",5,"a","lot","of","my",0.0186567164179104
"a matter of fact",5,"a","matter","of","fact",0.238095238095238
"a part of this",5,"a","part","of","this",0.106382978723404
"a safe and happy",5,"a","safe","and","happy",0.5
"a wide variety of",5,"a","wide","variety","of",1
"advice on how to",5,"advice","on","how","to",1
"all at the same",5,"all","at","the","same",0.454545454545455
"all the things i",5,"all","the","things","i",0.5
"along the lines of",5,"along","the","lines","of",0.714285714285714
"am going to be",5,"am","going","to","be",0.116279069767442
"an eye out for",5,"an","eye","out","for",0.833333333333333
"and a bit of",5,"and","a","bit","of",0.625
"and as a result",5,"and","as","a","result",0.357142857142857
"and have a great",5,"and","have","a","great",0.2
"and i'm going to",5,"and","i'm","going","to",1
"and i am still",5,"and","i","am","still",0.0909090909090909
"and i decided to",5,"and","i","decided","to",1
"and i don't have",5,"and","i","don't","have",0.227272727272727
"and i hope you",5,"and","i","hope","you",0.357142857142857
"and i love the",5,"and","i","love","the",0.166666666666667
"and it is a",5,"and","it","is","a",0.0892857142857143
"and now i am",5,"and","now","i","am",0.263157894736842
"and of course i",5,"and","of","course","i",0.119047619047619
"and some of the",5,"and","some","of","the",0.454545454545455
"and there is a",5,"and","there","is","a",0.357142857142857
"are more likely to",5,"are","more","likely","to",1
"are some of the",5,"are","some","of","the",0.833333333333333
"are supposed to be",5,"are","supposed","to","be",0.714285714285714
"are you kidding me",5,"are","you","kidding","me",0.833333333333333
"are you up to",5,"are","you","up","to",1
"as a way of",5,"as","a","way","of",0.5
"as a way to",5,"as","a","way","to",0.5
"as if they were",5,"as","if","they","were",0.555555555555556
"as long as they",5,"as","long","as","they",0.0793650793650794
"as long as we",5,"as","long","as","we",0.0793650793650794
"as soon as we",5,"as","soon","as","we",0.0980392156862745
"as well as other",5,"as","well","as","other",0.0387596899224806
"at least of the",5,"at","least","of","the",0.833333333333333
"at the center of",5,"at","the","center","of",0.833333333333333
"at the last minute",5,"at","the","last","minute",0.625
"at the right time",5,"at","the","right","time",0.833333333333333
"at the time of",5,"at","the","time","of",0.147058823529412
"back in the studio",5,"back","in","the","studio",0.108695652173913
"be a good time",5,"be","a","good","time",0.0909090909090909
"be able to use",5,"be","able","to","use",0.0396825396825397
"be back in the",5,"be","back","in","the",0.625
"be interesting to see",5,"be","interesting","to","see",0.714285714285714
"be one of those",5,"be","one","of","those",0.2
"be the only one",5,"be","the","only","one",0.333333333333333
"because there was a",5,"because","there","was","a",0.714285714285714
"been there done that",5,"been","there","done","that",1
"boston add boston add",5,"boston","add","boston","add",0.833333333333333
"but i think it",5,"but","i","think","it",0.121951219512195
"but there was no",5,"but","there","was","no",0.416666666666667
"by the time he",5,"by","the","time","he",0.166666666666667
"by the time i",5,"by","the","time","i",0.166666666666667
"cake cake cake cake",5,"cake","cake","cake","cake",0.714285714285714
"can't think of a",5,"can't","think","of","a",0.555555555555556
"can be found here",5,"can","be","found","here",0.357142857142857
"can be used to",5,"can","be","used","to",0.555555555555556
"can get away with",5,"can","get","away","with",1
"check out our new",5,"check","out","our","new",0.172413793103448
"check out the new",5,"check","out","the","new",0.142857142857143
"could come up with",5,"could","come","up","with",0.833333333333333
"couple of years ago",5,"couple","of","years","ago",0.384615384615385
"day at a time",5,"day","at","a","time",0.833333333333333
"do i want to",5,"do","i","want","to",1
"do not want to",5,"do","not","want","to",0.714285714285714
"do the same for",5,"do","the","same","for",0.294117647058824
"do you have an",5,"do","you","have","an",0.0943396226415094
"do you think of",5,"do","you","think","of",0.0684931506849315
"don't get me wrong",5,"don't","get","me","wrong",0.714285714285714
"don't have time to",5,"don't","have","time","to",0.555555555555556
"don't know if i",5,"don't","know","if","i",0.277777777777778
"dont know what to",5,"dont","know","what","to",0.357142857142857
"early in the morning",5,"early","in","the","morning",0.416666666666667
"every time i see",5,"every","time","i","see",0.151515151515152
"everyone have a great",5,"everyone","have","a","great",0.714285714285714
"excited to see you",5,"excited","to","see","you",0.357142857142857
"face to face with",5,"face","to","face","with",0.625
"family and friends and",5,"family","and","friends","and",0.25
"feel free to email",5,"feel","free","to","email",0.192307692307692
"feel the same way",5,"feel","the","same","way",0.5
"first day of spring",5,"first","day","of","spring",0.238095238095238
"first time this year",5,"first","time","this","year",0.833333333333333
"for a few minutes",5,"for","a","few","minutes",0.128205128205128
"for a few months",5,"for","a","few","months",0.128205128205128
"for a little bit",5,"for","a","little","bit",0.3125
"for a number of",5,"for","a","number","of",1
"for a variety of",5,"for","a","variety","of",1
"for all you do",5,"for","all","you","do",0.625
"for me in the",5,"for","me","in","the",0.5
"for quite some time",5,"for","quite","some","time",0.833333333333333
"for some of the",5,"for","some","of","the",0.5
"for stopping by and",5,"for","stopping","by","and",0.294117647058824
"for the second time",5,"for","the","second","time",0.555555555555556
"for you if you",5,"for","you","if","you",0.714285714285714
"forward to hearing from",5,"forward","to","hearing","from",0.625
"from time to time",5,"from","time","to","time",1
"get in the way",5,"get","in","the","way",0.416666666666667
"glad you enjoyed it",5,"glad","you","enjoyed","it",0.454545454545455
"got a lot of",5,"got","a","lot","of",0.833333333333333
"great to meet you",5,"great","to","meet","you",0.714285714285714
"had a blast with",5,"had","a","blast","with",0.416666666666667
"had to do with",5,"had","to","do","with",0.277777777777778
"had to go to",5,"had","to","go","to",0.294117647058824
"happy new year to",5,"happy","new","year","to",0.151515151515152
"happy th birthday to",5,"happy","th","birthday","to",0.416666666666667
"happy to say that",5,"happy","to","say","that",0.714285714285714
"has a lot of",5,"has","a","lot","of",0.833333333333333
"have a chance to",5,"have","a","chance","to",0.555555555555556
"have a good day",5,"have","a","good","day",0.111111111111111
"have a good one",5,"have","a","good","one",0.111111111111111
"have a great night",5,"have","a","great","night",0.0588235294117647
"have a safe and",5,"have","a","safe","and",0.625
"have been able to",5,"have","been","able","to",0.833333333333333
"have been in the",5,"have","been","in","the",0.384615384615385
"have no idea why",5,"have","no","idea","why",0.121951219512195
"have the ability to",5,"have","the","ability","to",1
"have to deal with",5,"have","to","deal","with",0.833333333333333
"have to do that",5,"have","to","do","that",0.119047619047619
"have to pay for",5,"have","to","pay","for",0.833333333333333
"have to say that",5,"have","to","say","that",0.172413793103448
"have to take a",5,"have","to","take","a",0.294117647058824
"he wants to be",5,"he","wants","to","be",0.3125
"hope you all had",5,"hope","you","all","had",0.3125
"hope you are all",5,"hope","you","are","all",0.208333333333333
"hope you are having",5,"hope","you","are","having",0.208333333333333
"how did i not",5,"how","did","i","not",0.454545454545455
"how did you know",5,"how","did","you","know",0.357142857142857
"how do you get",5,"how","do","you","get",0.108695652173913
"how easy it is",5,"how","easy","it","is",0.714285714285714
"how have you been",5,"how","have","you","been",0.625
"i'll be sure to",5,"i'll","be","sure","to",1
"i'll see what i",5,"i'll","see","what","i",0.833333333333333
"i'm going to try",5,"i'm","going","to","try",0.0531914893617021
"i'm so proud of",5,"i'm","so","proud","of",0.833333333333333
"i've been thinking about",5,"i've","been","thinking","about",0.625
"i agree with you",5,"i","agree","with","you",0.454545454545455
"i am at the",5,"i","am","at","the",0.454545454545455
"i am so sorry",5,"i","am","so","sorry",0.0847457627118644
"i am thankful for",5,"i","am","thankful","for",0.714285714285714
"i beg to differ",5,"i","beg","to","differ",1
"i can't wait until",5,"i","can't","wait","until",0.0793650793650794
"i can find the",5,"i","can","find","the",0.357142857142857
"i could have been",5,"i","could","have","been",0.172413793103448
"i did not know",5,"i","did","not","know",0.166666666666667
"i didn't have to",5,"i","didn't","have","to",0.217391304347826
"i didnt have to",5,"i","didnt","have","to",0.384615384615385
"i don't care about",5,"i","don't","care","about",0.263157894736842
"i don't like to",5,"i","don't","like","to",0.185185185185185
"i don't think it's",5,"i","don't","think","it's",0.0833333333333333
"i don't think you",5,"i","don't","think","you",0.0833333333333333
"i feel like im",5,"i","feel","like","im",0.0520833333333333
"i felt as if",5,"i","felt","as","if",0.833333333333333
"i felt like i",5,"i","felt","like","i",0.357142857142857
"i finally got the",5,"i","finally","got","the",0.357142857142857
"i grew up in",5,"i","grew","up","in",0.333333333333333
"i guess i should",5,"i","guess","i","should",0.138888888888889
"i guess you could",5,"i","guess","you","could",0.833333333333333
"i had to do",5,"i","had","to","do",0.0505050505050505
"i had to get",5,"i","had","to","get",0.0505050505050505
"i hate it when",5,"i","hate","it","when",0.555555555555556
"i have a feeling",5,"i","have","a","feeling",0.0335570469798658
"i have a new",5,"i","have","a","new",0.0335570469798658
"i have always been",5,"i","have","always","been",0.3125
"i have no clue",5,"i","have","no","clue",0.078125
"i have so many",5,"i","have","so","many",0.625
"i have to tell",5,"i","have","to","tell",0.0357142857142857
"i hope all is",5,"i","hope","all","is",0.555555555555556
"i hope you had",5,"i","hope","you","had",0.0735294117647059
"i know a lot",5,"i","know","a","lot",0.714285714285714
"i like the new",5,"i","like","the","new",0.15625
"i love me some",5,"i","love","me","some",0.833333333333333
"i might have to",5,"i","might","have","to",0.277777777777778
"i need to do",5,"i","need","to","do",0.033112582781457
"i need to have",5,"i","need","to","have",0.033112582781457
"i need to take",5,"i","need","to","take",0.033112582781457
"i never thought i",5,"i","never","thought","i",0.357142857142857
"i never wanted to",5,"i","never","wanted","to",1
"i really wanted to",5,"i","really","wanted","to",0.833333333333333
"i still can't believe",5,"i","still","can't","believe",0.416666666666667
"i still have a",5,"i","still","have","a",0.185185185185185
"i still have to",5,"i","still","have","to",0.185185185185185
"i think i need",5,"i","think","i","need",0.0515463917525773
"i think it would",5,"i","think","it","would",0.102040816326531
"i thought it would",5,"i","thought","it","would",0.138888888888889
"i thought that was",5,"i","thought","that","was",0.277777777777778
"i thought you were",5,"i","thought","you","were",0.625
"i try not to",5,"i","try","not","to",1
"i want to get",5,"i","want","to","get",0.0264550264550265
"i wanted to show",5,"i","wanted","to","show",0.0602409638554217
"i was at a",5,"i","was","at","a",0.208333333333333
"i was looking at",5,"i","was","looking","at",0.384615384615385
